scenario,year,mean,low,high
ssp126,2088,1.2381028649362709,0.7358993722595528,1.7719622479742156
ssp126,2089,1.1376955415576049,0.6929411299142316,1.6215571823894948
ssp126,2090,1.2175285863620122,0.8198023620191748,1.664063746709246
ssp126,2091,1.1755482230610899,0.7486012197533114,1.5978021580332893
ssp126,2092,1.0952303136133612,0.5479711114138581,1.6201691884315892
ssp126,2093,1.1294688308757372,0.5708266444020182,1.6036614899174424
ssp126,2094,1.1529184582899081,0.6338496413307553,1.5401362608125169
ssp126,2095,1.237579574392176,0.8290742987987301,1.561070256757148
ssp126,2096,1.2227923978595452,0.6511523252063398,1.6509580630662413
ssp126,2097,1.1222572392089585,0.5486348969023425,1.4587870709978006
ssp126,2098,1.1365803577720233,0.6088493830997095,1.525384457479106
ssp126,2099,1.1613078267483654,0.6186941667344286,1.6334490221101987
ssp126,2100,1.0687439921939585,0.6013589962316814,1.5320294525805025
ssp245,2015,0.0,0.0,0.0
ssp245,2016,0.036156638513072416,-0.10183657308618876,0.14138299111380093
ssp245,2017,0.077275460580438,-0.023224498187971676,0.17737249818964074
ssp245,2018,0.14699493124830573,0.04103866936060285,0.30353955785210474
ssp245,2019,0.24122570736708818,0.04851233124566079,0.39310830261359797
ssp245,2020,0.21400183641863654,0.09475724247840844,0.3812934695035892
ssp245,2021,0.31232640693099256,0.18294897799842147,0.43237823820771837
ssp245,2022,0.3743382154711033,0.3173617819290371,0.4721911677482922
ssp245,2023,0.41307700421576027,0.30947718301172245,0.46630966529050966
ssp245,2024,0.45101432688591103,0.3400748315295914,0.5749945947867445
ssp245,2025,0.40061761217363784,0.3831442570258332,0.4102721051042977
ssp245,2026,0.4277071479660132,0.4243492926748331,0.43014205260953986
ssp245,2027,0.5265987713610798,0.45746870092852987,0.5737867659536278
ssp245,2028,0.553617629768155,0.4477386104076686,0.6473016950328088
ssp245,2029,0.5632737032235772,0.5332047518945728,0.6113958259679748
ssp245,2030,0.5588188399625741,0.4714943380845966,0.6345776528593206
ssp245,2031,0.5783518970739768,0.5337241152471961,0.6130144850661736
ssp245,2032,0.6172794627791328,0.4822248519980121,0.7201315699504107
ssp245,2033,0.6084835677953416,0.5819797047553266,0.6560189335961013
ssp245,2034,0.616959268345397,0.48490997043825246,0.7452625742540704
ssp245,2035,0.6258007983704678,0.546358166770176,0.7525782519034578
ssp245,2036,0.5788212524511968,0.4823939132614896,0.6880974139145906
ssp245,2037,0.6521386799080536,0.5313206985924239,0.7490281398982575
ssp245,2038,0.777999181548258,0.5996507874572785,0.9226066080894952
ssp245,2039,0.8392736701291786,0.7431710300593863,0.9100308355464222
ssp245,2040,0.9362156239182392,0.834357192773723,1.0816675676492196
ssp245,2041,0.9618646857344023,0.7880879124545572,1.097374613977081
ssp245,2042,0.9956247656397181,0.830528255613558,1.172311548131745
ssp245,2043,1.04999885241034,0.823035845073889,1.2049897539189942
ssp245,2044,1.051036740136908,0.8749960313857628,1.1967593587474425
ssp245,2045,1.125263782783198,1.0276812365056003,1.2028622203594637
ssp245,2046,1.030419375035308,0.9174481665061194,1.1850036066530265
ssp245,2047,1.0921980761074603,0.8854372480549841,1.285858675488214
ssp245,2048,1.201306424354603,1.1094672131438301,1.2995548614298968
ssp245,2049,1.1700253672618335,1.0679545221423723,1.3086388209600273
ssp245,2050,1.1064145705351127,0.9359136266635915,1.2229343295634862
ssp245,2051,1.1741436268623413,1.0244058285867368,1.3656040404189298
ssp245,2052,1.214406095386342,1.1368326062442407,1.3559017796291641
ssp245,2053,1.3535626855278906,1.2295101924771075,1.5693629676044338
ssp245,2054,1.3796543531532848,1.3374500923998767,1.4361473997628877
ssp245,2055,1.461926077602546,1.3821800798841082,1.6086256700668855
ssp245,2056,1.4698242817163607,1.2108312974466457,1.681933030143398
ssp245,2057,1.4343370685137984,1.3495727654934626,1.57270990381096
ssp245,2058,1.433877844321709,1.2306594381442437,1.7186836640493084
ssp245,2059,1.466906128888733,1.1847565956090307,1.8195251800553933
ssp245,2060,1.4476372488338332,1.3054015459852053,1.5218023067714057
ssp245,2061,1.5401844526915436,1.2076074421710246,1.7332012367450602
ssp245,2062,1.57369629745574,1.2593638638637117,1.8812804087972381
ssp245,2063,1.5712022763204345,1.2841289302917858,1.7259801030761537
ssp245,2064,1.6609444607161852,1.5447878050453028,1.7365284147124385
ssp245,2065,1.7282662817390435,1.5370788613093964,1.8654054050299465
ssp245,2066,1.6342126873600857,1.4163444767312967,1.7956598912829804
ssp245,2067,1.721249541470873,1.625831791221799,1.7848926598848038
ssp245,2068,1.6693254145713279,1.3259213235522793,1.9190896184655344
ssp245,2069,1.7635698758054446,1.4222657786212949,2.005785020946746
ssp245,2070,1.7986790276213849,1.5128243355040922,2.0439704403892165
ssp245,2071,1.8538468435542654,1.6421916421469405,2.1118233542529197
ssp245,2072,1.7874979429748805,1.4989995235475249,2.032009269514333
ssp245,2073,1.7313443957865502,1.3374930944254402,2.022029514929784
ssp245,2074,1.8095108840075227,1.454268695536939,2.092401413913933
ssp245,2075,1.8635853404843867,1.613030141901504,2.0910652735068993
ssp245,2076,1.8832599722385528,1.6012796736184782,2.129980630517025
ssp245,2077,1.8316762529729356,1.4897004498414503,2.030916413518696
ssp245,2078,1.8802073075978,1.7595611976863665,1.985483349315075
ssp245,2079,2.018032429566214,1.6984589540828097,2.240010818882922
ssp245,2080,1.9324190557756349,1.5116270100720044,2.1867431573525664
ssp245,2081,1.9297231413939169,1.61286194781826,2.2377081499396922
ssp245,2082,1.9073468227287549,1.596223037314246,2.1015897231122835
ssp245,2083,2.0143815915730934,1.7904813277222047,2.275868656437126
ssp245,2084,2.0114997442451945,1.7319069204635298,2.228535647186334
ssp245,2085,2.0017833539147127,1.6420112803784264,2.3319756393210582
ssp245,2086,2.0444257445124854,1.6776561344115635,2.2753094523448567
ssp245,2087,2.0368179583609844,1.5343559509755664,2.381228077064975
ssp245,2088,2.0206715603343546,1.5270529009220013,2.3329258609326757
ssp245,2089,2.1174957515020387,1.7010650087969452,2.378111994334404
ssp245,2090,2.134282657643761,1.8149970414901873,2.3613674487930894
ssp245,2091,2.109882065999367,1.6203848217894006,2.4300961442345397
ssp245,2092,2.1588606883624,1.7244167597531828,2.4119178779602635
ssp245,2093,2.205601155673378,2.0463419731005956,2.428105998940964
ssp245,2094,2.131939477147417,1.8776740671754624,2.3878741528195633
ssp245,2095,2.192266454444981,1.8008601726235156,2.4585265302632706
ssp245,2096,2.2477346328870644,1.791439013338504,2.5879682173066954
ssp245,2097,2.1792308891756043,1.8148380105101865,2.4215112275603587
ssp245,2098,2.135035822884712,1.645285744399871,2.514204679733325
ssp245,2099,2.1492647814632733,1.6586711372884224,2.544945722715511
ssp245,2100,2.1387740068970893,1.5877176796990398,2.5254070471988257
ssp585,2015,0.0,0.0,0.0
ssp585,2016,0.075963509240637,-0.004131276627276748,0.11969583223583413
ssp585,2017,0.14155091050325078,-0.0841412112770854,0.4246849237923698
ssp585,2018,0.22599131986908105,0.15201458888543584,0.34113827912699435
ssp585,2019,0.18130229294877154,0.11242288570377923,0.2304503717954276
ssp585,2020,0.09678408146445842,0.06477714751292751,0.1335126514472904
ssp585,2021,0.25914091135611744,0.13665264313061698,0.43160169337511434
ssp585,2022,0.2449660560925319,0.04640994516358887,0.3671206598600065
ssp585,2023,0.37217209775517784,0.20437775610702147,0.46350006505770125
ssp585,2024,0.555608755431706,0.40175318737664156,0.6634175037352179
ssp585,2025,0.47525756221290294,0.3938450541388079,0.5375238400823719
ssp585,2026,0.48662743059840824,0.41876673920307894,0.5620828586054358
ssp585,2027,0.6188341578799358,0.5882419087749327,0.6614605419009649
ssp585,2028,0.6689206624956986,0.5689823602011188,0.7928939232995162
ssp585,2029,0.6319596290911326,0.5458412054460382,0.7169706243308838
ssp585,2030,0.6419451019440695,0.4921254904629109,0.7756525268464429
ssp585,2031,0.6647287578499382,0.5696251120356237,0.8323323823537976
ssp585,2032,0.7544407945366439,0.7153898448208906,0.7950018648606374
ssp585,2033,0.8133411683095915,0.7347242974561254,0.8669385116426724
ssp585,2034,0.8393305954026005,0.6117492164689224,0.9930823472234351
ssp585,2035,0.7865315108325225,0.5947837175843347,0.9128218213551804
ssp585,2036,0.8693717590019029,0.7274815700230306,1.028445763871332
ssp585,2037,1.0174855077767877,0.8946519024527788,1.087036116975753
ssp585,2038,1.0810896967515002,0.9160131744552018,1.1696952695352252
ssp585,2039,0.9840749190322526,0.6787585753042435,1.1524964182133317
ssp585,2040,0.9986053665219478,0.8176191350195268,1.2105422383289692
ssp585,2041,1.0029181661806585,0.7649089743766808,1.1909880051833852
ssp585,2042,0.9172666962126262,0.7838053107445262,1.0867597375455489
ssp585,2043,1.0372295530286806,0.8230585701292057,1.1888410656893598
ssp585,2044,1.2110806426057366,1.0156583404648245,1.3126979178202305
ssp585,2045,1.2077774032291775,0.9961007030121891,1.3804388068672893
ssp585,2046,1.32278940281653,1.0044899696230232,1.5122894189056524
ssp585,2047,1.3062458496495424,1.0854803903163202,1.5084691067689846
ssp585,2048,1.3769533676229078,1.2403801190054082,1.4779972452013794
ssp585,2049,1.5081897015523016,1.3425729165286384,1.6083931762425436
ssp585,2050,1.5049265992726266,1.2057651568834444,1.800074469730248
ssp585,2051,1.4768760235781808,1.3557520016919398,1.6489515132118981
ssp585,2052,1.5840479253984465,1.3019591053258068,1.7410070937711453
